date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-24JAN26-88000-P,24JAN26,2026-01-24,88000.0,put,98.6,107.2,-0.6053,-221.07428,14.44459,0.00013,-0.1932,37.84,39.71,38.87
2026-01-23T01:00:00.000000,BTC-24JAN26-89000-C,24JAN26,2026-01-24,89000.0,call,18.9,20.4,1.99043,-274.47667,19.38155,0.0002,0.65645,33.15,37.79,35.64
2026-01-23T01:00:00.000000,BTC-24JAN26-89000-P,24JAN26,2026-01-24,89000.0,put,96.8,134.3,-1.07797,-274.48895,19.38242,0.0002,-0.3436,34.44,36.29,35.64
2026-01-23T01:00:00.000000,BTC-24JAN26-90000-C,24JAN26,2026-01-24,90000.0,call,31.5,83.4,1.35167,-274.20929,20.80666,0.00023,0.44332,31.5,35.82,33.17
2026-01-23T01:00:00.000000,BTC-24JAN26-90000-P,24JAN26,2026-01-24,90000.0,put,62.1,84.3,-1.75092,-274.21489,20.80709,0.00023,-0.55663,31.64,33.8,33.17
2026-01-23T01:00:00.000000,BTC-24JAN26-91000-C,24JAN26,2026-01-24,91000.0,call,344.3,302.5,0.71384,-207.41255,16.12652,0.00018,0.23332,30.87,33.66,32.37
2026-01-23T01:00:00.000000,BTC-24JAN26-91000-P,24JAN26,2026-01-24,91000.0,put,2.1,14.6,-2.42325,-207.43253,16.12808,0.00018,-0.76664,25.31,36.8,32.37
2026-01-23T01:00:00.000000,BTC-24JAN26-92000-C,24JAN26,2026-01-24,92000.0,call,12.1,216.1,0.3099,-82.91511,9.32072,0.0001,0.1011,31.83,33.78,33.06
2026-01-23T01:00:00.000000,BTC-24JAN26-92000-P,24JAN26,2026-01-24,92000.0,put,3.0,11.1,-2.86172,-122.4669,9.32224,0.0001,-0.89888,0.0,35.94,33.06
2026-01-23T01:00:00.000000,BTC-24JAN26-93000-C,24JAN26,2026-01-24,93000.0,call,25.0,59.5,0.13041,-31.83954,4.76992,0.00005,0.04251,34.07,35.97,35.15
2026-01-23T01:00:00.000000,BTC-24JAN26-93000-P,24JAN26,2026-01-24,93000.0,put,0.0,0.1,-3.07572,-66.63071,4.77091,0.00005,-0.95748,0.0,49.86,35.15
2026-01-23T01:00:00.000000,BTC-24JAN26-94000-C,24JAN26,2026-01-24,94000.0,call,38.4,113.3,0.07425,-18.97361,2.99771,0.00003,0.02421,35.69,42.22,39.85
2026-01-23T01:00:00.000000,BTC-24JAN26-94000-P,24JAN26,2026-01-24,94000.0,put,0.1,2.4,-3.16639,-47.46297,2.99771,0.00003,-0.97579,0.0,58.76,39.85
2026-01-23T01:00:00.000000,BTC-24JAN26-96000-C,24JAN26,2026-01-24,96000.0,call,9.6,33.8,0.04113,-12.66167,1.8146,0.00001,0.01343,0.0,54.17,51.59
2026-01-23T01:00:00.000000,BTC-24JAN26-96000-P,24JAN26,2026-01-24,96000.0,put,0.0,0.0,-3.26846,-37.19611,1.8146,0.00001,-0.98657,0.0,74.05,51.59
2026-01-23T01:00:00.000000,BTC-24JAN26-98000-C,24JAN26,2026-01-24,98000.0,call,68.9,115.3,0.01624,-5.13243,0.80312,0.0,0.00531,62.21,68.01,58.34
